"Gender","Fingerprint","TimeUpx","W","H","leng","leng_sum","speed","Force","ForceUp","Rx","Ry","varX","varY","corrYX"
"f","1b5f967569dc228c1f5ba7e2bc1f526a",257.16667,360,640,126.54637,759.27821,0.54538,1,1,4.12053,4.12053,236.80556,1907.13889,-0.67213
"f","fcafb45fd3eda8100cfc558dfe9ba987",1134.38889,398.88889,601.11112,146.88797,5287.96671,0.42045,1,0.02778,3.05798,3.05798,1976.82099,10754.63195,-0.04706
"f","48e06318776abcebfed529fe58ad2fcf",316.76812,360,720,115.33958,7958.43076,0.41533,0.00648,0,0,0,4675.65638,3711.62739,0.15821
"f","58cda9784e306b50aebf68c79eab7414",756.0625,360,640,77.15078,1234.41238,0.10438,1,0,10.16086,10.16086,767.90235,2166.1836,-0.72932
"f","27fa5f07c3524c73cb9eb3049153ec0e",1200.66667,360,720,337.22278,2023.33668,0.31011,0.11438,0,0,0,155.13889,26784.88889,-0.37563
"f","fcafb45fd3eda8100cfc558dfe9ba987",733.66667,360,640,108.62514,1303.50161,0.17638,1,0,0,0,375.24306,881.80556,-0.58814
"f","8d3933d1a04dc4fb821ed0340b1063a8",1439.36112,360,640,159.77151,5751.77431,0.15816,1,0,5.60503,5.60503,27686.90433,4606.69368,-0.16281
"f","8c47753e45070e4943f563a1d0ab5c1d",268.83334,360,640,176.52855,1059.17127,0.62052,1,0,1.04054,1.37351,3688.88889,8786.22223,-0.27494
"f","9c960c8e28004bd5a05eefd2a29f1dfe",410,360,640,106.94038,641.64225,0.13963,1,0,0.83334,0.83334,64.33334,487.22223,-0.5893
"f","9c960c8e28004bd5a05eefd2a29f1dfe",311.52381,360,640,69.66417,1462.94753,0.37758,1,1,0.60715,0.60715,171.84127,3048.37189,0.71338
"f","8c47753e45070e4943f563a1d0ab5c1d",258.05556,360,640,53.60375,964.8675,0.30404,1,0,0.9573,1.33189,70.46914,1964.38581,-0.09654
"f","58cda9784e306b50aebf68c79eab7414",1652.65218,360,640,123.99418,2851.86592,0.12122,1,0,11.09666,11.09666,101.17203,670.94518,0.09021
"f","0703d9e1462f9de372465d6e32e8a27d",654.5,360,640,125.62348,753.74084,0.18214,1,0,2.11112,2.11112,219.80556,1008.88889,-0.68224
"f","2e658c07bfc2c6486041f16805960d19",785.09524,320,570,88.30016,1854.30332,0.34435,1,1,0.3328,0.3328,224.9025,15865.29706,0.01772
"f","3183f6f7626d168628851a35bd2de577",303,320,570,239.37573,2872.50868,0.54908,1,0,0.3328,0.3328,2534.24306,634.07639,0.32187
"f","48e06318776abcebfed529fe58ad2fcf",231.33334,360,720,151.30175,907.81047,0.65294,0.00393,0,0,0,167.22223,187.80556,-0.94768
"f","8d3933d1a04dc4fb821ed0340b1063a8",572.6875,360,640,70.21909,3370.51607,0.18728,1,0,0,0,383.06207,1814.23438,-0.15516
"f","8d3933d1a04dc4fb821ed0340b1063a8",285.39691,360,640,81.9356,15895.5058,0.35765,1,0,5.84547,5.84547,12636.07908,6375.25744,0.67141
"f","58cda9784e306b50aebf68c79eab7414",222.125,360,640,73.20294,585.6235,0.25881,1,0,4.27661,4.27661,161.23438,172.85938,-0.50268
"f","8c47753e45070e4943f563a1d0ab5c1d",199,360,640,52.30349,261.51741,0.27698,1,0,1.34854,1.49838,165.2,835.36001,-0.39301
"f","a1a857b5b06e372f9c815718ac340077",1635,360,640,183.59639,550.78915,0.13071,1,0,0.5,0.5,14.88889,560.22223,0.54139
"f","8d3933d1a04dc4fb821ed0340b1063a8",185,360,640,77.64664,77.64664,0.41972,1,0,0,0,0,0,nan
"f","8d3933d1a04dc4fb821ed0340b1063a8",289.92895,525.78948,474.21053,49.71936,18893.35499,0.18294,1,0,4.41364,4.41364,21545.16019,12084.38252,0.31358
"f","3183f6f7626d168628851a35bd2de577",381.83334,320,570,228.1542,1368.92517,0.82391,1,0,0.3328,0.3328,48.47223,602.88889,0.25024
"f","10ee042a14d0a9cc413e2412fad579c9",217.4,412,732,174.69139,873.45692,1.26994,1,0,0.38096,0.72381,74.64001,838.16001,0.21062
"f","8c47753e45070e4943f563a1d0ab5c1d",284.60001,360,640,118.02944,590.14719,0.64166,1,0,0.99892,1.1987,309.76,551.76001,-0.52741
"f","8c47753e45070e4943f563a1d0ab5c1d",1249.625,360,640,196.78657,4722.87748,0.17729,1,0,1.15483,1.35522,9505.10417,5633.78994,0.36527
"f","fcafb45fd3eda8100cfc558dfe9ba987",701,360,640,103.04,5564.15994,0.18507,1,0,0,0,126.83402,805.83711,0.214
"f","8d3933d1a04dc4fb821ed0340b1063a8",246.575,360,640,69.16846,8300.21407,0.26904,1,0,5.06742,5.06742,488.84556,860.54889,-0.21812
"f","1b5f967569dc228c1f5ba7e2bc1f526a",220.2,360,640,96.11316,480.56578,0.48356,1,1,4.99459,4.99459,35.6,466.96001,-0.80196
"f","fcafb45fd3eda8100cfc558dfe9ba987",224.16667,360,640,68.90445,413.42666,0.30433,1,0,0,0,100.13889,1295.33334,0.70109
"f","8c47753e45070e4943f563a1d0ab5c1d",758.25,360,640,172.49185,4139.80437,0.38866,1,0,1.11338,1.43595,1857.66667,3152.99306,-0.22861
"f","10ee042a14d0a9cc413e2412fad579c9",530.16667,412,732,276.57827,1659.46958,0.61031,1,0,0.57143,0.60318,213.22223,1747.13889,-0.22764
"f","ea519105b43d50a3ca3cba627a755510",464.09091,360,640,216.05144,2376.56577,0.4748,1,0.54546,0.56819,0.56819,21954.80992,16225.83472,-0.96327
"f","8d3933d1a04dc4fb821ed0340b1063a8",211.20834,360,640,129.16652,3099.99633,0.31324,1,0,12.01822,12.01822,10191.9566,3681.05556,0.04007
"f","8d3933d1a04dc4fb821ed0340b1063a8",1992.81482,360,640,121.68101,3285.38708,0.10092,1,0,4.61537,4.61537,16.17284,124.91633,-0.37428
"f","8c47753e45070e4943f563a1d0ab5c1d",1515.2,360,640,155.11055,775.55274,0.17401,1,0,1.14876,1.2986,53.44001,1382.64,0.23928
"f","fcafb45fd3eda8100cfc558dfe9ba987",1109,360,640,126.97321,253.94641,0.11451,1,0,0,0,0,420.25,nan
"f","ea519105b43d50a3ca3cba627a755510",143.16667,360,640,86.10887,516.65321,0.3243,1,1,0.66667,0.66667,201.91667,1856,0.8135
"f","9480785302be63ef2f0f36e19a3778ed",740.59091,360,640,92.56256,2036.37621,0.15483,1,0,0.24973,0.24973,445.5372,6663.78513,0.37021
"f","58cda9784e306b50aebf68c79eab7414",251,360,640,206.25748,1237.54486,0.39795,1,0,8.82376,8.82376,223.58334,11329.47223,0.78911
"f","0703d9e1462f9de372465d6e32e8a27d",1061.66667,360,640,243.81977,731.45929,0.54839,1,0,4.11112,4.11112,542.88889,10524.22223,-0.81807
"f","e2731596e61e854d401fbeabdec5bf54",258,600,1024,59.42219,118.84437,0.23433,1,0,0.49935,0.49935,100,90.25,1
"f","9c960c8e28004bd5a05eefd2a29f1dfe",965.57143,360,640,126.03151,4411.10279,0.18052,1,1,0.63572,0.63572,311.4498,6011.43347,0.32389
"f","8c47753e45070e4943f563a1d0ab5c1d",2319,360,640,38.01316,38.01316,0.0164,1,0,1.74811,1.74811,0,0,nan
"f","fcafb45fd3eda8100cfc558dfe9ba987",172.70834,360,640,57.32214,1375.73124,0.32939,1,0,0,0,1621.05556,3492.6875,0.05494
"f","7e40dd6c05f823f6551ec7b584fa2474",243.66667,360,640,99.80627,598.83762,0.44665,1,0,4.71881,4.71881,84.22223,1442.80556,-0.69964
"f","0703d9e1462f9de372465d6e32e8a27d",489,360,640,440.84465,440.84465,0.90153,1,0,2.33334,2.33334,0,0,nan
"f","8c47753e45070e4943f563a1d0ab5c1d",381.28572,360,640,159.6792,1117.75434,0.45933,1,0,1.28433,1.42703,162.69388,4030.12245,-0.66955
"f","48e06318776abcebfed529fe58ad2fcf",779.8655,360,720,122.59894,20964.41874,0.31178,0.0414,0,0,0,3976.06156,10417.24025,0.22812
"f","0473471d75c1d93ba810f6ac619ab378",230.66667,360,640,67.15764,402.94582,0.32634,1,0,0,0,464.47223,729.55556,-0.68991
"f","8d3933d1a04dc4fb821ed0340b1063a8",297.55556,360,640,101.95819,2752.87104,0.33059,1,0,12.19973,12.19973,866.24143,2227.9616,-0.18852
"f","2e658c07bfc2c6486041f16805960d19",463.83334,320,570,179.04868,2148.58414,0.50414,1,1,0.3328,0.3328,280.38889,7095.22223,0.1458
"f","8d3933d1a04dc4fb821ed0340b1063a8",222.91667,360,640,79.46224,1907.09375,0.22464,1,0,6.75309,6.75309,11398.57639,1045.02084,0.746
"f","ea519105b43d50a3ca3cba627a755510",1308.54546,360,640,150.98761,3321.7273,0.31729,1,1,0.5341,0.5341,1307.11777,6780.87604,0.2501
"f","a33fb45ef2f51391e6ec33ebd68556e7",81,320,569,132.67253,132.67253,1.63794,1,0,0.88793,1.10991,0,0,nan
"f","9c960c8e28004bd5a05eefd2a29f1dfe",15692.14286,360,640,310.91846,2176.42921,0.02394,1,1,1,1,373.55103,2574.53062,0.08196
"f","8d3933d1a04dc4fb821ed0340b1063a8",452.17074,360,640,124.05844,5086.39577,0.33019,1,0,3.61194,3.61194,9705.21,3413.21833,0.28019
"f","8d3933d1a04dc4fb821ed0340b1063a8",461.74075,360,640,164.95678,8907.6661,0.37611,1,0,4.25927,4.25927,2673.77778,8231.92593,-0.04101
"f","8d3933d1a04dc4fb821ed0340b1063a8",617.66667,640,360,183.77205,2205.26456,0.33,1,0,8.36593,8.36593,772.05556,1232.75,0.10994
"f","8c47753e45070e4943f563a1d0ab5c1d",179.08334,360,640,73.31855,879.82252,0.27095,1,0,0.93649,1.24865,73.55556,912.97223,-0.33529
"f","8c47753e45070e4943f563a1d0ab5c1d",871.33334,360,640,216.92154,1301.52924,0.27865,1,0,1.24865,1.37351,469.91667,2887.47223,0.05545
"f","48e06318776abcebfed529fe58ad2fcf",386.4874,405.37816,674.62185,112.76372,13418.88206,0.27896,0.01474,0,0,0,4140.82297,13144.92706,-0.0429
"f","27fa5f07c3524c73cb9eb3049153ec0e",154.82759,360,720,55.78391,1617.73336,0.44032,0.00393,0,0,0,640.10464,3158.27587,-0.33577
"f","48e06318776abcebfed529fe58ad2fcf",1077.8,360,720,542.36281,5423.62805,0.53452,0.01138,0,0,0,976.16,999.76001,-0.22265
"f","8d3933d1a04dc4fb821ed0340b1063a8",154.58334,360,640,101.91256,1222.95064,0.43884,1,0,0,0,192.35417,5800.22223,-0.52512
"f","0703d9e1462f9de372465d6e32e8a27d",433.44445,360,640,223.59975,2012.39774,0.50197,1,0,2.33334,2.33334,257.58025,2222.88889,0.41453
"f","e45faa6a06163a79f892886141473993",539.63637,320,570,248.99459,2738.94049,0.30441,1,0,0.3328,0.3328,6092.92562,4844.80992,0.58613
"f","48e06318776abcebfed529fe58ad2fcf",199.16667,360,720,97.03997,1164.47963,0.12875,0.00719,0,0,0,67.07639,394.13889,0.93287
