"Gender","Fingerprint","TimeUpx","W","H","leng","leng_sum","speed","Force","ForceUp","Rx","Ry","varX","varY","corrYX"
"f","ca447ef6847a8593a4530b41066d365e",168.25,360,640,89.92639,1079.1166,0.55098,1,0,8.93798,8.93798,47.52084,271.74306,-0.25574
"f","58cda9784e306b50aebf68c79eab7414",577.39063,360,640,60.07278,3844.65758,0.19737,1,0,7.08607,7.08607,178.45289,666.09278,-0.39317
"f","8c47753e45070e4943f563a1d0ab5c1d",165.66667,360,640,78.62772,1415.29896,0.47917,1,0,1.40126,1.5955,573.80247,164.90433,-0.43401
"f","8c47753e45070e4943f563a1d0ab5c1d",1516.91667,360,640,145.47693,3491.44611,0.16288,1,0,1.3423,1.51919,741.16667,2480.52084,-0.61084
"f","8d3933d1a04dc4fb821ed0340b1063a8",625.20001,360,640,215.66188,2156.6188,0.47263,1,0,0,0,312.04001,2510.64,0.28603
"f","0703d9e1462f9de372465d6e32e8a27d",328.05264,360,640,185.87406,3531.60707,0.59461,1,0,3.22808,3.22808,461.89474,5019.2687,-0.43705
"f","10ee042a14d0a9cc413e2412fad579c9",274.74469,412,732,111.41872,5236.67983,0.35989,1,0,0.30396,0.57549,3231.93572,2883.82345,-0.48845
"f","8d3933d1a04dc4fb821ed0340b1063a8",952.64103,360,640,156.14232,6089.5503,0.22316,1,0.05129,10.78318,10.78318,16326.13018,2861.49639,0.16057
"f","0703d9e1462f9de372465d6e32e8a27d",748.5,360,640,138.77128,1110.17017,0.22365,1,0,3.62501,3.62501,626.5,763.85938,0.37639
"f","8c47753e45070e4943f563a1d0ab5c1d",862.88889,360,640,105.74407,1903.39317,0.12736,1,0,1.02667,1.37351,133.11112,2805.69445,-0.83598
"f","8d3933d1a04dc4fb821ed0340b1063a8",1005.26667,360,640,206.14569,6184.37057,0.25597,1,0,6.70107,6.70107,1383.24001,11833.31556,0.53823
"f","8d3933d1a04dc4fb821ed0340b1063a8",363.55697,360,640,63.39279,5008.02997,0.28354,1,0,7.40337,7.40337,692.95562,868.3022,-0.10656
"f","8d3933d1a04dc4fb821ed0340b1063a8",380.13334,360,640,172.10922,5163.27641,0.44627,1,0,9.2483,9.2483,287.36556,2052.15667,-0.13213
"f","8d3933d1a04dc4fb821ed0340b1063a8",536.06107,360,640,110.35718,14456.78965,0.33851,1,0,6.93142,6.93142,3649.68394,8016.15687,-0.33582
"f","0703d9e1462f9de372465d6e32e8a27d",295.16667,360,640,160.82582,964.95488,0.31511,1,0,2.55556,2.55556,621.58334,1403.55556,0.03676
"f","8c47753e45070e4943f563a1d0ab5c1d",554.81482,360,640,104.21772,2813.8784,0.21293,1,0,1.35039,1.49838,205.29493,284.51852,-0.36345
"f","8c47753e45070e4943f563a1d0ab5c1d",1071.58621,360,640,51.08806,1481.55349,0.07222,1,0,1.46393,1.74811,530.07373,4761.0987,-0.02677
"f","58cda9784e306b50aebf68c79eab7414",631,360,640,154.12994,308.25987,0.31767,1,0,11.987,11.987,992.25,210.25,1
"f","48e06318776abcebfed529fe58ad2fcf",704.75,360,720,27.43678,109.74711,0.02843,0.10001,0,0,0,196,560.1875,-0.41194
"f","58cda9784e306b50aebf68c79eab7414",782.33334,360,640,193.4073,1160.4438,0.27868,1,0,4.61999,4.61999,34.13889,2395.33334,0.96808
